,LATITUDE,LONGITUDE,TractCode,geometry,GEOID10,NAME10,UATYP10,ALAND10
641,35.954209000000006,-83.989203,47093003801,POINT (-83.989203 35.95420900000001),45640,"Knoxville, TN",U,1134806494.0
642,35.968635,-84.009377,47093003802,POINT (-84.009377 35.968635),45640,"Knoxville, TN",U,1134806494.0
643,35.986532000000004,-83.989402,47093003901,POINT (-83.989402 35.986532),45640,"Knoxville, TN",U,1134806494.0
644,35.998153,-83.973399,47093003902,POINT (-83.973399 35.998153),45640,"Knoxville, TN",U,1134806494.0
645,36.014713,-83.958692,47093004000,POINT (-83.958692 36.014713),45640,"Knoxville, TN",U,1134806494.0
646,36.020668,-83.941283,47093004100,POINT (-83.941283 36.020668),45640,"Knoxville, TN",U,1134806494.0
647,36.039041999999995,-83.91911400000001,47093004200,POINT (-83.91911400000001 36.03904199999999),45640,"Knoxville, TN",U,1134806494.0
648,36.034002,-83.902199,47093004300,POINT (-83.902199 36.034002),45640,"Knoxville, TN",U,1134806494.0
649,35.908729,-84.023106,47093004401,POINT (-84.023106 35.908729),45640,"Knoxville, TN",U,1134806494.0
650,35.915541999999995,-84.044288,47093004403,POINT (-84.04428799999999 35.91554199999999),45640,"Knoxville, TN",U,1134806494.0
651,35.924977,-84.015736,47093004404,POINT (-84.015736 35.924977),45640,"Knoxville, TN",U,1134806494.0
652,35.937007,-84.038185,47093004500,POINT (-84.038185 35.937007),45640,"Knoxville, TN",U,1134806494.0
653,35.952663,-84.090521,47093004606,POINT (-84.090521 35.952663),45640,"Knoxville, TN",U,1134806494.0
654,35.974340999999995,-84.050015,47093004607,POINT (-84.050015 35.974341),45640,"Knoxville, TN",U,1134806494.0
655,35.972879999999996,-84.025868,47093004608,POINT (-84.025868 35.97288),45640,"Knoxville, TN",U,1134806494.0
656,35.938448,-84.078476,47093004609,POINT (-84.07847599999999 35.938448),45640,"Knoxville, TN",U,1134806494.0
657,35.927846,-84.078858,47093004610,POINT (-84.078858 35.927846),45640,"Knoxville, TN",U,1134806494.0
658,35.932517,-84.11149,47093004611,POINT (-84.11149 35.932517),45640,"Knoxville, TN",U,1134806494.0
659,35.941998999999996,-84.117103,47093004612,POINT (-84.117103 35.941999),45640,"Knoxville, TN",U,1134806494.0
660,35.956773999999996,-84.062556,47093004613,POINT (-84.062556 35.956774),45640,"Knoxville, TN",U,1134806494.0
661,35.948834000000005,-84.050001,47093004614,POINT (-84.05000099999999 35.94883400000001),45640,"Knoxville, TN",U,1134806494.0
662,35.950194,-84.036816,47093004615,POINT (-84.036816 35.950194),45640,"Knoxville, TN",U,1134806494.0
663,35.988253,-84.016869,47093004700,POINT (-84.016869 35.988253),45640,"Knoxville, TN",U,1134806494.0
664,36.003735,-84.000194,47093004800,POINT (-84.00019399999999 36.003735),45640,"Knoxville, TN",U,1134806494.0
665,36.027541,-83.971094,47093004900,POINT (-83.97109399999999 36.027541),45640,"Knoxville, TN",U,1134806494.0
666,36.038747,-83.941264,47093005000,POINT (-83.941264 36.038747),45640,"Knoxville, TN",U,1134806494.0
667,36.056298,-83.898526,47093005100,POINT (-83.898526 36.056298),45640,"Knoxville, TN",U,1134806494.0
668,36.072373999999996,-83.837047,47093005201,POINT (-83.837047 36.072374),45640,"Knoxville, TN",U,1134806494.0
670,36.026389,-83.774293,47093005301,POINT (-83.774293 36.026389),45640,"Knoxville, TN",U,1134806494.0
677,35.902291999999996,-83.873171,47093005603,POINT (-83.873171 35.902292),45640,"Knoxville, TN",U,1134806494.0
679,35.897399,-84.000461,47093005701,POINT (-84.000461 35.897399),45640,"Knoxville, TN",U,1134806494.0
680,35.909161,-84.063322,47093005704,POINT (-84.063322 35.909161),45640,"Knoxville, TN",U,1134806494.0
