,TractCode,CountBlocks,Consumer Blocks Served Any Pro,Consumer Blocks Served Any Pro 25mbps,Prop Served By Any,Prop Served By Any 25mbps
407,47053967400,375,375,280.0,100.0,74.67
408,47053980100,37,37,35.0,100.0,94.59
409,47055920100,197,197,120.0,100.0,60.91
410,47055920200,284,284,260.0,100.0,91.55
411,47055920300,410,410,323.0,100.0,78.78
412,47055920400,260,260,257.0,100.0,98.85
413,47055920500,241,241,230.0,100.0,95.44
414,47055920600,270,270,54.0,100.0,20.0
415,47055920700,133,133,103.0,100.0,77.44
416,47055920800,347,347,189.0,100.0,54.47
417,47057500100,228,228,130.0,100.0,57.02
418,47057500200,190,189,160.0,99.47,84.21
419,47057500300,346,346,312.0,100.0,90.17
420,47057500401,149,149,139.0,100.0,93.29
421,47057500402,239,239,233.0,100.0,97.49
422,47059090100,297,294,262.0,98.99,88.22
423,47059090200,108,105,98.0,97.22,90.74
424,47059090300,182,177,165.0,97.25,90.66
425,47059090400,157,157,149.0,100.0,94.9
426,47059090500,246,245,232.0,99.59,94.31
427,47059090600,151,150,142.0,99.34,94.04
428,47059090700,131,129,116.0,98.47,88.55
429,47059090800,215,215,208.0,100.0,96.74
430,47059090900,198,197,180.0,99.49,90.91
431,47059091000,285,283,269.0,99.3,94.39
432,47059091100,161,161,138.0,100.0,85.71
433,47059091200,216,216,187.0,100.0,86.57
434,47059091300,232,229,198.0,98.71,85.34
435,47059091400,209,208,167.0,99.52,79.9
436,47059091500,160,160,125.0,100.0,78.12
437,47061955000,210,210,172.0,100.0,81.9
438,47061955100,184,184,179.0,100.0,97.28
439,47061955200,238,238,211.0,100.0,88.66
440,47061955300,376,376,310.0,100.0,82.45
441,47063100100,150,150,150.0,100.0,100.0
442,47063100200,201,201,201.0,100.0,100.0
443,47063100300,124,124,124.0,100.0,100.0
444,47063100400,153,153,153.0,100.0,100.0
445,47063100500,76,76,76.0,100.0,100.0
446,47063100600,192,192,192.0,100.0,100.0
447,47063100700,439,439,439.0,100.0,100.0
448,47063100800,261,261,261.0,100.0,100.0
449,47063100900,115,115,115.0,100.0,100.0
450,47063101000,274,274,274.0,100.0,100.0
451,47063101100,198,198,198.0,100.0,100.0
452,47063101200,138,138,138.0,100.0,100.0
453,47065000400,110,108,107.0,98.18,97.27
454,47065000600,98,97,97.0,98.98,98.98
455,47065000700,88,88,88.0,100.0,100.0
456,47065000800,64,63,63.0,98.44,98.44
