,TractCode,Less_HS_Proportion_2015,HS_Proportion_2015,Some_College_Proportion_2015,Bachelors_Proportion_2015,Less_HS_Proportion_2017,HS_Proportion_2017,Some_College_Proportion_2017,Bachelors_Proportion_2017,Less_HS_Proportion_2019,HS_Proportion_2019,Some_College_Proportion_2019,Bachelors_Proportion_2019
869,47013950800,24.08,37.79,21.43,16.71,20.61,36.31,29.01,14.07,17.52,41.37,29.82,11.29
870,47013950900,23.11,39.36,24.74,12.8,26.97,40.22,20.39,12.41,22.99,42.0,24.01,11.01
871,47013950300,41.65,39.29,10.59,8.47,35.99,36.14,16.24,11.63,36.45,33.31,16.02,14.22
872,47027955100,23.25,50.41,11.44,14.91,20.16,50.47,15.45,13.92,17.27,51.77,17.27,13.68
873,47051960400,13.59,33.56,31.18,21.67,12.82,34.33,30.26,22.6,10.92,34.99,30.05,24.04
874,47051960600,20.19,39.6,27.18,13.03,20.92,34.42,28.42,16.23,16.95,45.65,25.04,12.35
875,47051960500,25.74,26.89,30.66,16.71,21.62,33.7,26.4,18.28,15.08,39.91,25.51,19.5
876,47051960100,29.84,44.98,16.01,9.16,24.15,46.57,17.77,11.52,20.2,47.54,21.04,11.22
877,47051960300,12.21,46.38,22.94,18.47,8.78,48.43,23.96,18.83,16.15,34.41,26.99,22.45
878,47051960700,10.56,27.47,15.33,46.64,9.99,25.19,13.19,51.62,9.68,23.48,9.18,57.65
879,47051960800,29.04,41.92,15.78,13.26,23.35,43.49,17.11,16.06,17.98,46.85,21.2,13.98
880,47059090300,7.6,36.03,26.35,30.02,7.15,38.88,26.23,27.74,9.25,35.67,25.32,29.76
881,47059090700,21.19,43.46,27.18,8.16,17.88,45.2,30.59,6.33,12.73,49.12,28.98,9.16
882,47059090500,13.66,40.96,24.37,21.0,14.36,39.03,24.67,21.94,15.06,37.31,26.98,20.65
883,47059091100,16.6,40.7,27.4,15.3,16.09,42.29,27.28,14.34,17.31,45.31,25.39,11.99
884,47059090900,18.56,43.66,21.11,16.66,14.06,44.61,30.46,10.87,11.62,44.04,29.39,14.95
885,47059091000,19.83,46.1,19.9,14.17,19.08,40.6,22.32,18.0,20.96,39.18,22.2,17.66
886,47059090400,17.02,40.58,23.43,18.98,15.56,38.45,29.27,16.72,12.04,34.58,30.71,22.67
887,47059090800,17.33,49.72,21.64,11.31,16.91,51.28,21.14,10.67,13.6,46.88,26.4,13.11
888,47059090200,18.24,32.25,26.74,22.78,18.67,31.33,26.3,23.7,17.19,28.52,27.49,26.8
889,47059091300,26.52,48.88,18.5,6.09,20.55,52.71,16.83,9.91,14.79,54.8,23.45,6.96
890,47059091200,17.89,43.83,26.63,11.65,16.54,48.39,22.74,12.33,15.55,48.23,25.96,10.26
891,47059091400,17.45,54.22,20.86,7.47,16.72,48.29,26.71,8.28,13.7,42.38,29.4,14.52
892,47059091500,26.03,41.05,22.54,10.38,20.41,42.49,23.43,13.66,16.46,36.65,29.06,17.83
893,47059090600,14.44,40.45,29.44,15.66,14.19,42.14,30.44,13.24,10.41,39.04,34.61,15.94
894,47059090100,32.8,37.04,21.79,8.38,30.75,41.14,20.71,7.41,24.11,45.12,19.39,11.38
895,47083120200,28.94,35.77,23.07,12.22,25.95,41.01,22.96,10.08,21.88,44.05,18.34,15.73
896,47083120100,16.27,54.15,20.16,9.42,20.08,51.37,16.4,12.16,22.3,51.74,13.83,12.13
897,47083120300,19.25,44.7,25.45,10.6,23.77,44.24,22.46,9.53,24.2,44.5,19.82,11.48
898,47157020512,22.0,34.75,29.42,13.82,18.15,36.67,33.35,11.82,16.43,38.16,32.27,13.13
899,47157021351,2.69,12.45,24.47,60.39,2.93,12.55,26.03,58.5,1.82,10.11,19.27,68.8
900,47157020642,3.02,19.83,36.15,40.99,3.55,19.79,35.01,41.65,3.89,17.66,36.74,41.71
901,47157021540,0.88,7.45,26.56,65.1,1.49,9.38,24.91,64.23,2.01,10.12,21.36,66.51
902,47157005500,37.28,30.96,30.32,1.44,26.23,27.31,39.67,6.79,26.85,39.93,24.63,8.59
903,47037010201,9.25,30.99,27.66,32.1,9.36,28.53,31.31,30.8,11.0,28.68,28.2,32.12
904,47095960200,30.93,43.16,17.82,8.09,23.64,45.71,21.77,8.87,16.89,47.02,24.31,11.77
905,47095960100,27.3,45.11,18.44,9.16,27.75,46.42,16.19,9.64,30.97,41.67,18.9,8.47
906,47087960400,29.8,48.67,15.68,5.86,24.46,51.77,15.84,7.92,25.11,51.39,16.82,6.68
907,47087960200,24.42,48.27,16.49,10.82,21.6,53.52,16.55,8.33,18.35,54.93,16.35,10.37
908,47087960100,24.6,44.23,20.27,10.9,23.34,45.18,21.91,9.57,20.75,46.92,23.83,8.5
909,47087960300,24.62,48.13,20.33,6.92,21.11,41.77,29.67,7.44,22.39,36.5,27.15,13.96
910,47037015627,18.95,43.35,22.44,15.26,19.42,32.92,24.07,23.59,19.42,35.33,24.99,20.26
911,47037015623,14.93,18.73,34.9,31.44,15.11,19.08,34.78,31.03,9.92,17.24,42.96,29.88
912,47037980100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,47037019116,6.05,16.23,31.22,46.51,9.82,17.95,27.49,44.75,6.75,17.15,25.85,50.26
